date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:50	96045/96045	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Oct%202022%2008:37:06%20GMT	https://html.designingmedia.com/yogastic/assets/images/subscribe_background.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/subscribe_background.png	(from https://html.designingmedia.com/yogastic/assets/css/style.css)
13:15:50	662884/662884	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Oct%202022%2008:37:00%20GMT	https://html.designingmedia.com/yogastic/assets/images/aboutus_background.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/aboutus_background.png	(from https://html.designingmedia.com/yogastic/assets/css/style.css)
13:15:51	53631/53631	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Oct%202022%2008:37:02%20GMT	https://html.designingmedia.com/yogastic/assets/images/discount_background.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/discount_background.jpg	(from https://html.designingmedia.com/yogastic/assets/css/style.css)
13:15:51	253/253	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Feb%202022%2012:15:38%20GMT	https://html.designingmedia.com/yogastic/assets/images/icon-folder.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/icon-folder.png	(from https://html.designingmedia.com/yogastic/assets/css/custom-style.css)
13:15:51	597185/597185	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Oct%202022%2008:37:06%20GMT	https://html.designingmedia.com/yogastic/assets/images/subbanner_section_background.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/subbanner_section_background.jpg	(from https://html.designingmedia.com/yogastic/assets/css/style.css)
13:15:51	10530/10530	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Oct%202022%2008:37:02%20GMT	https://html.designingmedia.com/yogastic/assets/images/our_mission_shape.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/our_mission_shape.png	(from https://html.designingmedia.com/yogastic/about.html)
13:15:52	11000/11000	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Oct%202022%2008:37:04%20GMT	https://html.designingmedia.com/yogastic/assets/images/our_vision_shape.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/our_vision_shape.png	(from https://html.designingmedia.com/yogastic/about.html)
13:15:52	2916/2916	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Oct%202022%2008:37:00%20GMT	https://html.designingmedia.com/yogastic/assets/images/achievement_1.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/achievement_1.png	(from https://html.designingmedia.com/yogastic/about.html)
13:15:52	4151/4151	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Oct%202022%2008:37:00%20GMT	https://html.designingmedia.com/yogastic/assets/images/achievement_2.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/achievement_2.png	(from https://html.designingmedia.com/yogastic/about.html)
13:15:52	481790/481790	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Oct%202022%2008:37:00%20GMT	https://html.designingmedia.com/yogastic/assets/images/about_page_aboutus_image.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/about_page_aboutus_image.png	(from https://html.designingmedia.com/yogastic/about.html)
